"GroupPolicyName","GroupPolicyKey","GroupPolicyValueName","IntuneDisplayName","IntuneName","IntuneKeywords","IntuneRootDefinitionId","IntuneOffsetURI","IntuneInfoUrls","IntuneMinimumSupportedVersion","IntuneWindowsSkus"
"DisableOfflineModeForExternalLibraries","SOFTWARE\Policies\Microsoft\OneDrive","DisableOfflineModeForExternalLibraries","","","","","","","",""
"DisableOfflineMode","SOFTWARE\Policies\Microsoft\OneDrive","DisableOfflineMode","","","","","","","",""
"DisableListSyncSilentConfig","SOFTWARE\Policies\Microsoft\OneDrive","DisableNucleusSilentConfig","Disables silent configuration of Lists sync on this device.","DisableListSyncSilentConfig","DisableListSyncSilentConfig; Disables silent configuration of Lists sync on this device.; \List Sync; List Sync","device_vendor_msft_policy_config_onedrivengscv6~policy~nucleuslistsync_disablelistsyncsilentconfig","/Config/OneDriveNGSCv6~Policy~NucleusListSync/DisableListSyncSilentConfig","",,""
"AutoMountTeamSites","SOFTWARE\Policies\Microsoft\OneDrive","AutoMountTeamSites","Configure team site libraries to sync automatically","AutoMountTeamSites","AutoMountTeamSites; Configure team site libraries to sync automatically; \OneDrive; OneDrive; One Drive","device_vendor_msft_policy_config_onedrivengscv2~policy~onedrivengsc_automountteamsites","/Config/OneDriveNGSCv2~Policy~OneDriveNGSC/AutoMountTeamSites","",,""
"BlockExternalListSync","SOFTWARE\Policies\Microsoft\OneDrive","BlockExternalListSync","Blocks syncing of external lists via Lists sync","BlockExternalListSync","BlockExternalListSync; Blocks syncing of external lists via Lists sync; \List Sync; List Sync","device_vendor_msft_policy_config_onedrivengscv6~policy~nucleuslistsync_blockexternallistsync","/Config/OneDriveNGSCv6~Policy~NucleusListSync/BlockExternalListSync","",,""
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
"EnableFeedbackAndSupport","SOFTWARE\Policies\Microsoft\OneDrive","EnableFeedbackAndSupport","Allow users to contact Microsoft for feedback and support","EnableFeedbackAndSupport","EnableFeedbackAndSupport;  Allow users to contact Microsoft for feedback and support; \OneDrive; OneDrive","device_vendor_msft_policy_config_onedrivengscv6~policy~onedrivengsc_enablefeedbackandsupport","/Config/OneDriveNGSCv6~Policy~OneDriveNGSC/EnableFeedbackAndSupport","",,""
